iteration,loss
1,0.59375
21,0.625
41,0.6171875
61,0.75
81,0.640625
101,0.6171875
121,0.6015625
141,0.71484375
161,0.6875
181,0.62890625
201,0.609375
221,0.73046875
241,0.6796875
261,0.65625
281,0.70703125
301,0.74609375
321,0.67578125
341,0.64453125
361,0.640625
381,0.625
401,0.703125
421,0.67578125
441,0.68359375
461,0.63671875
481,0.65234375
501,0.75390625
521,0.6484375
541,0.63671875
561,0.6484375
581,0.7421875
601,0.734375
621,0.6796875
641,0.6640625
661,0.6484375
681,0.6875
701,0.671875
721,0.65234375
741,0.69140625
761,0.671875
781,0.671875
801,0.69140625
821,0.6875
841,0.71484375
861,0.69921875
881,0.6953125
901,0.6796875
921,0.6640625
941,0.72265625
961,0.65234375
981,0.71484375
1001,0.63671875
1021,0.6953125
1041,0.6328125
1061,0.69921875
1081,0.63671875
1101,0.6640625
1121,0.65625
1141,0.6640625
1161,0.58984375
1181,0.65625
1183,0.7109375
1203,0.58984375
1223,0.6875
1243,0.7109375
1263,0.64453125
1283,0.6796875
1303,0.6875
1323,0.66015625
1343,0.6015625
1363,0.6640625
1383,0.6484375
1403,0.66796875
1423,0.69921875
1443,0.65234375
1463,0.6640625
1483,0.640625
1503,0.71875
1523,0.62890625
1543,0.67578125
1563,0.6171875
1583,0.703125
1603,0.69921875
1623,0.671875
1643,0.6953125
1663,0.625
1683,0.67578125
1703,0.60546875
1723,0.7109375
1743,0.6328125
1763,0.64453125
1783,0.6640625
1803,0.66015625
1823,0.65625
1843,0.71875
1863,0.72265625
1883,0.6015625
1903,0.609375
1923,0.65625
1943,0.65625
1963,0.62890625
1983,0.63671875
2003,0.625
2023,0.65625
2043,0.71875
2063,0.6796875
2083,0.640625
2103,0.62890625
2123,0.66796875
2143,0.7109375
2163,0.703125
2183,0.6875
2203,0.578125
2223,0.62890625
2243,0.7109375
2263,0.65234375
2283,0.66015625
2303,0.671875
2323,0.69921875
2343,0.6171875
2363,0.6328125
2365,0.67578125
2385,0.69921875
2405,0.62109375
2425,0.69140625
2445,0.61328125
2465,0.65234375
2485,0.62890625
2505,0.703125
2525,0.7265625
2545,0.66796875
2565,0.6328125
2585,0.6796875
